kreiskey1878,county,rb,tax1878_cta,tax1878_cit,tax1878_total,tax1878_tlt,tax1878_tin
188,"Tost-Gleiwitz","OPP",105642,44731,280825,88911,165744
189,"Tarnowitz","OPP",36631,58068,138401,32700,60076
190,"Beuthen","OPP",140032,161438,439154,59028,100779
191,"Zabrze","OPP",45110,14370,99585,16699,138725
192,"Kattowitz","OPP",112175,63978,282280,66013,107091
193,"Pless","OPP",71588,18980,197791,59268,151291
194,"Rybnik","OPP",60851,21829,163513,39256,70312
195,"Ratibor","OPP",150980,85552,466674,151925,405801
196,"Kosel","OPP",64284,60559,259596,47464,93847
197,"Leobschütz","OPP",134936,31704,421166,79526,129602
198,"Neustadt","OPP",99797,51840,349174,80224,235744
199,"Falkenberg","OPP",38271,20091,144642,51665,94207
200,"Neisse","OPP",123550,72047,440078,113936,166069
201,"Grottkau","OPP",53700,26676,218434,34433,69753
202,"Osterburg","MAG",93986,28473,291089,36017,65166
203,"Salzwedel","MAG",96367,26036,273658,81553,177683
204,"Gardelegen","MAG",86211,24971,243370,43947,121679
205,"Stendal","MAG",98501,33276,279460,55485,81813
206,"Jerichow I","MAG",111797,57050,372331,115941,173300
207,"Jerichow II","MAG",93316,41041,280314,16514,48123
208,"Kalbe","MAG",148135,99122,541813,211372,288526
209,"Wanzleben","MAG",109136,130869,554066,231605,364601
210,"Wolmirstedt","MAG",75337,78410,350232,78150,111256
211,"Neuhaldensleben","MAG",82849,76828,369489,39131,57163
212,"Oschersleben","MAG",78373,70380,372626,171967,387370
213,"Aschersleben","MAG",115252,139599,483476,107192,139713
214,"Halberstadt","MAG",127881,132325,541673,41107,66206
215,"Wernigerode","MAG",50976,34776,167421,22700,35056
216,"Liebenwerda","MER",42130,8315,121881,12362,32725
217,"Torgau","MER",54396,26484,203679,22358,43782
218,"Schweinitz","MER",50294,5554,136870,21392,45239
219,"Wittenberg","MER",42329,22332,180841,16964,41712
220,"Bitterfeld","MER",43178,35411,202355,37468,71386
221,"Saale","MER",81483,56790,358959,59876,84099
222,"Delitzsch","MER",63331,37850,332582,24594,54054
223,"Gebirgskreis Mansfeld","MER",46457,19993,194738,21640,44505
224,"Seekreis Mansfeld","MER",63497,87570,402664,158954,212896
225,"Sangerhausen","MER",57611,25974,269060,21815,45444
226,"Eckartsberga","MER",44439,21435,194730,33803,68820
227,"Querfurt","MER",74762,48904,341043,50398,176573
228,"Merseburg","MER",63535,45258,335867,34393,84883
229,"Weissenfels","MER",73201,38364,327999,21150,64827
230,"Naumburg","MER",18348,6071,69452,13446,21783
231,"Zeitz","MER",43302,20693,173184,12000,24715
232,"Stadtkreis Nordhausen","ERF",113522,83778,386696,36744,59645
233,"Worbis","ERF",54501,10593,148293,10975,24866
234,"Heiligenstadt","ERF",48403,15927,141710,31889,53022
235,"Mühlhausen","ERF",90188,44062,277129,32700,72435
236,"Langensalza","ERF",73035,33380,265850,19405,32907
237,"Weissensee","ERF",43996,19614,178240,13067,47888
238,"Landkreis Erfurt","ERF",41444,14700,151798,14210,24240
239,"Ziegenrück","ERF",19838,3378,55613,3678,11036
240,"Schleusingen","ERF",41918,17834,109726,11273,34916
241,"Hadersleben","SCH",112912,53089,446811,154100,530439
242,"Apenrade","SCH",59496,20442,198006,17100,18760
243,"Sonderburg","SCH",72870,28014,273699,10363,11841
244,"Flensburg","SCH",133226,70918,471917,13724,19045
245,"Schleswig","SCH",123978,63126,435039,8900,12598
246,"Eckernförde","SCH",73996,44644,345131,10964,14208
247,"Eiderstedt","SCH",35407,58929,307850,112350,351999
248,"Husum","SCH",78911,43879,327364,11037,12715
249,"Tondern","SCH",108026,61099,456410,23312,26683
250,"Oldenburg","SCH",77638,65254,420498,14500,16202
251,"Plön","SCH",88643,70545,414925,18000,39384
252,"Landkreis Kiel","SCH",149684,152180,563714,25480,69342
253,"Rendsburg","SCH",75162,30058,247192,9858,14660
254,"Norderdithmarschen","SCH",76523,51493,373331,64710,82274
255,"Süderdithmarschen","SCH",79296,67018,424754,30112,218258
256,"Steinburg","SCH",126132,78881,511391,18702,60158
257,"Segeberg","SCH",70824,21483,267718,16306,17942
258,"Stormarn","SCH",121075,65505,458387,13589,17053
259,"Pinneberg","SCH",122737,58489,406032,11418,12720
260,"Diepholz","HAN",80199,11125,232259,96094,179429
261,"Hoya","HAN",68263,22676,236817,116976,225902
262,"Nienburg","HAN",62267,12648,197126,84561,148736
263,"Landkreis Hannover","HAN",121724,39300,349803,84222,105116
264,"Wennigsen","HAN",64802,23322,231460,81050,120100
265,"Hameln","HAN",56041,13466,206772,68366,95288
266,"Hildesheim","HIL",61409,22098,248934,128114,237689
267,"Marienburg b. H.","HIL",91976,42894,349016,139539,302516
268,"Liebenburg","HIL",67362,37611,305130,136783,217295
269,"Osterode a. H.","HIL",75369,10470,230566,58711,117282
270,"Göttingen","HIL",61227,11691,236538,70549,92208
271,"Einbeck","HIL",71459,18849,268991,76647,130896
272,"Zellerfeld","HIL",60059,16200,145882,23366,42908
273,"Celle","LUN",82337,10659,255236,140238,247329
274,"Gifhorn","LUN",76557,15007,258247,115475,219768
275,"Fallingbostel","LUN",87986,20809,254942,91376,243931
276,"Uelzen","LUN",66255,12138,215328,98918,132045
277,"Dannenberg","LUN",84921,13827,280722,139987,219701
278,"Lüneburg","LUN",57228,13425,205589,97023,146766
279,"Harburg","LUN",99884,14186,269187,124838,161809
280,"Stader Marsch","STA",76532,29041,301495,151110,231675
281,"Stader Geest","STA",55256,7041,159798,49534,101078
282,"Neuhaus","STA",45694,21147,191732,62229,165772
283,"Otterndorf","STA",28583,10877,156794,13022,19059
284,"Lehe","STA",103254,38171,388026,135623,298922
285,"Osterholz","STA",65309,14088,165129,34633,106618
286,"Verden","STA",56812,23303,190906,88220,146351
287,"Rotenburg a. W.","STA",54597,7559,151145,63160,122885
288,"Meppen","OSN",56970,6400,158110,43843,134858
289,"Lingen","OSN",72615,11550,224467,73398,168534
290,"Bersenbrück","OSN",53479,11442,189742,139881,333779
291,"Osnabrück","OSN",61907,11689,199868,78418,146353
292,"Melle","OSN",57493,12135,202312,79145,168217
293,"Aurich","AUR",122556,44767,407292,151338,316536
294,"Emden","AUR",65410,61784,393635,217852,627767
295,"Leer","AUR",81780,63588,347440,168394,313918
296,"Tecklenburg","MUN",62288,15678,187380,1366,6557
297,"Warendorf","MUN",42525,16926,143775,38900,120891
298,"Beckum","MUN",70803,19913,246627,0,2226
299,"Lüdinghausen","MUN",57265,22070,226937,67094,78201
300,"Landkreis Münster","MUN",66883,14009,229061,29573,42416
301,"Steinfurt","MUN",72813,27908,220880,90192,104158
302,"Koesfeld","MUN",62451,33012,241827,103740,141539
303,"Ahaus","MUN",36609,11537,133323,98073,566823
304,"Borken","MUN",52449,27509,179521,46369,56350
305,"Recklinghausen","MUN",96697,51518,314082,98470,213946
306,"Minden","MIN",149117,72549,436667,55400,70909
307,"Lübbecke","MIN",76865,18807,213977,58000,74278
308,"Herford","MIN",122329,37875,323618,99654,208732
309,"Halle in Westfalen","MIN",41846,11290,119314,28903,48533
310,"Bielefeld","MIN",111665,73895,326244,29744,267231
311,"Wiedenbrück","MIN",55882,19416,163607,0,10014
312,"Paderborn","MIN",71111,42517,209942,0,2279
313,"Büren","MIN",50420,10604,159149,40176,84457
314,"Warburg","MIN",50286,15942,179724,0,11559
315,"Höxter","MIN",78221,29603,294072,28609,43839
316,"Arnsberg","ARN",62437,39398,196268,2143,3443
317,"Meschede","ARN",46773,11172,122979,6300,7461
318,"Brilon","ARN",38036,10103,127606,42630,43351
319,"Lippstadt","ARN",56415,28946,254330,27939,42558
320,"Soest","ARN",80477,34545,358625,1835,4490
321,"Hamm","ARN",107517,51005,374426,953,4586
322,"Dortmund","ARN",185686,52299,467225,13779,18865
323,"Bochum","ARN",331745,92445,723272,56250,59503
324,"Hagen","ARN",206675,75660,520317,7000,10687
325,"Iserlohn","ARN",84965,56868,280225,21345,23274
326,"Altena","ARN",98810,47370,273543,8250,17995
327,"Olpe","ARN",44898,10080,110801,9620,10717
328,"Siegen","ARN",114305,69921,317534,3000,4770
329,"Wittgenstein","ARN",18798,3738,52264,30600,37249
330,"Landkreis Kassel","KAS",59086,12831,155777,0,2100
331,"Eschwege","KAS",70850,23001,200568,0,2547
332,"Fritzlar","KAS",41717,14151,141268,0,1626
