REGDIST,Industrial_Ratio_1831,is_treated_baseline,MANUFAC,FAMTRADE
28001,0.004471941091422615,1,133,6060
29001,0.00191103623425281,1,76,5019
30001,0.0034586533710640973,1,154,5438
31000,0.008513931888544891,1,748,9311
32001,0.0,0,0,86
32002,0.01167388439088684,1,62,374
32003,0.004506468963512139,1,31,909
32004,0.0,0,0,278
32005,0.004143646408839779,1,21,316
32005,0.004847309743092583,1,10,289
33001,0.0028337643016542098,1,80,1820
34001,0.006058252427184466,1,78,2758
35001,0.003215434083601286,1,5,96
35001,0.0013082346100734064,1,18,1454
35002,0.00513585155732273,1,31,792
35003,0.00439864782307661,1,108,454
35005,0.0,0,0,1208
36001,0.0,0,0,95
36001,0.0,0,0,175
36002,0.0,0,0,103
36002,0.0,0,0,2
36003,0.0,0,0,3
36003,0.0,0,0,21
36003,0.0,0,0,373
37001,0.0,0,0,44
37001,0.004689942678478374,1,9,161
37001,0.0,0,0,67
37001,0.0,0,0,80
37002,0.0,0,0,20
37002,0.0,0,0,1
37002,0.0,0,0,1
37002,0.0,0,0,247
37002,0.0,0,0,113
37003,0.0,0,0,49
37003,0.0,0,0,4
37003,0.0,0,0,67
37003,0.0,0,0,8
37003,0.0,0,0,136
37003,0.0,0,0,9
38001,0.0009828009828009828,1,2,71
38001,0.0,0,0,68
38002,0.0,0,0,16
38002,0.0006256517205422315,1,3,285
38002,0.0,0,0,1
38003,0.0,0,0,7
38003,0.0,0,0,78
38003,0.0,0,0,20
38003,0.0,0,0,134
39001,0.0,0,0,20
39001,0.0010126582278481013,1,2,105
39001,0.0007352941176470588,1,1,43
39002,0.0,0,0,19
39002,0.0,0,0,75
39002,0.0,0,0,4
39003,0.0,0,0,42
39003,0.0,0,0,13
39003,0.0,0,0,19
39003,0.0,0,0,13
39003,0.0,0,0,27
39003,0.0,0,0,8
39003,0.0,0,0,91
39004,0.0,0,0,28
39004,0.0,0,0,0
39004,0.0,0,0,162
39004,0.0,0,0,217
39004,0.0,0,0,85
39004,0.0,0,0,91
39005,0.004395604395604396,1,2,13
39005,0.03665268271141532,1,166,483
39005,0.0,0,0,1
40001,0.012030075187969926,1,8,24
40001,0.0,0,0,84
40002,0.0,0,0,61
40002,0.0,0,0,19
40002,0.0,0,0,0
40002,0.0,0,0,7
40002,0.005917159763313609,1,1,6
40002,0.004774029280712922,1,15,266
40002,0.0,0,0,34
40002,0.0,0,0,1
40002,0.0,0,0,1
40002,0.0,0,0,31
41001,0.0,0,0,25
41001,0.024830699774266364,1,11,50
41001,0.0,0,0,17
41001,0.0,0,0,29
41001,0.0,0,0,8
41001,0.0,0,0,18
41001,0.0,0,0,10
41001,0.0,0,0,19
41002,0.0,0,0,48
41002,0.0,0,0,54
41002,0.0,0,0,8
42001,0.0,0,0,39
42001,0.0,0,0,28
42001,0.0,0,0,13
42001,0.0,0,0,11
42001,0.01884570082449941,1,16,65
42001,0.0,0,0,4
42001,0.005649717514124294,1,4,43
42001,0.0,0,0,40
42002,0.0,0,0,13
42002,0.0,0,0,57
42002,0.0007575757575757576,1,1,47
42002,0.0,0,0,25
42002,0.0,0,0,16
42002,0.0,0,0,16
42002,0.0,0,0,68
42002,0.0018709073900841909,1,2,46
43001,0.0,0,0,35
43001,0.0,0,0,43
43001,0.0,0,0,21
43001,0.0,0,0,20
43001,0.0015360983102918587,1,1,20
43002,0.0006368074718743367,1,3,376
43002,0.0,0,0,19
43002,0.0,0,0,17
44001,0.0,0,0,39
44001,0.0,0,0,16
44001,0.0,0,0,0
44001,0.0,0,0,14
44001,0.0,0,0,9
44001,0.0,0,0,4
44001,0.0,0,0,6
44001,0.0,0,0,101
44001,0.0,0,0,161
44001,0.0,0,0,18
44002,0.0,0,0,24
44002,0.003401360544217687,1,4,30
44002,0.0,0,0,47
44002,0.0,0,0,14
44002,0.0,0,0,49
44002,0.0,0,0,31
45001,0.0,0,0,70
45001,0.0,0,0,28
45001,0.0,0,0,2
45001,0.0,0,0,0
45001,0.0,0,0,2
45001,0.0,0,0,67
45001,0.0016806722689075631,1,1,16
45001,0.0,0,0,42
45001,0.0,0,0,56
45001,0.0,0,0,12
45001,0.0,0,0,3
45001,0.0,0,0,3
45001,0.0,0,0,17
45001,0.0,0,0,0
46001,0.0,0,0,13
46001,0.0,0,0,10
46001,0.00024102193299590263,1,3,2008
46001,0.0,0,0,12
46001,0.0,0,0,2
46002,0.0020161290322580645,1,1,18
46002,0.01796821008984105,1,26,119
46002,0.022110781855482105,1,97,376
46002,0.0061068702290076335,1,4,40
46002,0.03751339764201501,1,35,78
46002,0.0,0,0,3
47001,0.008200455580865604,1,18,183
47002,0.0,0,0,58
47002,0.0,0,0,8
47002,0.004508265152780097,1,27,689
47002,0.009569377990430622,1,2,6
47003,0.0,0,0,22
47003,0.0,0,0,16
47003,0.0,0,0,87
47003,0.0049382716049382715,1,6,78
47003,0.0,0,0,38
47003,0.0,0,0,25
47003,0.011363636363636364,1,3,6
47004,0.0,0,0,131
47004,0.0,0,0,170
47004,0.0,0,0,71
48001,0.0011947431302270011,1,1,53
48001,0.0,0,0,18
48001,0.0,0,0,717
48002,0.0,0,0,64
48002,0.00037064492216456633,1,1,154
49001,0.0,0,0,58
49001,0.0,0,0,249
49001,0.0,0,0,17
49001,0.0,0,0,20
49001,0.0,0,0,22
49001,0.0,0,0,16
49001,0.0,0,0,19
49001,0.0,0,0,25
49002,0.0,0,0,17
49002,0.0,0,0,93
49002,0.0,0,0,13
49002,0.0,0,0,17
49002,0.0,0,0,59
49002,0.0,0,0,20
49002,0.0,0,0,32
49002,0.0,0,0,24
50001,0.012476606363069246,1,40,224
50001,0.06132542037586548,1,124,207
50001,0.0,0,0,87
50001,0.0,0,0,22
50002,0.0,0,0,27
50002,0.008483563096500531,1,40,413
50002,0.0,0,0,20
50002,0.0,0,0,36
50002,0.004288164665523156,1,5,51
50002,0.0,0,0,20
50003,0.0,0,0,20
50003,0.0,0,0,71
50003,0.0,0,0,40
50003,0.0,0,0,6
50003,0.0,0,0,4
50003,0.0,0,0,37
50003,0.0,0,0,11
50003,0.0,0,0,2
50003,0.0,0,0,0
50003,0.0,0,0,0
50003,0.0,0,0,25
51001,0.0,0,0,460
51001,0.0,0,0,225
52001,0.0,0,0,9
52001,0.0,0,0,33
52001,0.0,0,0,5
52001,0.0,0,0,3
52001,0.0,0,0,6
52001,0.0,0,0,29
52001,0.0,0,0,283
52001,0.0,0,0,0
52001,0.0,0,0,33
52002,0.0,0,0,23
52002,0.0,0,0,13
52002,0.0,0,0,137
52002,0.0,0,0,20
52002,0.0,0,0,20
52002,0.0,0,0,106
52002,0.0,0,0,90
53001,0.0,0,0,2
53001,0.0,0,0,1
53001,0.0,0,0,7
53001,0.0,0,0,65
53001,0.0,0,0,2
53001,0.0,0,0,5
53001,0.0,0,0,7
54000,0.0007279344858962694,1,12,1586
54000,0.0,0,0,78
54001,0.0,0,0,10
54001,0.0,0,0,460
54001,0.0,0,0,500
54002,0.0,0,0,480
54002,0.0,0,0,17
54002,0.0,0,0,0
54002,0.0,0,0,0
55001,0.0,0,0,0
55001,0.0,0,0,74
55001,0.0,0,0,16
55001,0.0,0,0,15
55001,0.0,0,0,5
55001,0.0,0,0,5
55001,0.0,0,0,59
55001,0.0,0,0,12
55001,0.0,0,0,38
55001,0.0,0,0,7
55002,0.0,0,0,112
55002,0.0,0,0,31
55002,0.0,0,0,80
55002,0.0,0,0,13
55002,0.0,0,0,11
55002,0.0,0,0,57
55003,0.0,0,0,8
55003,0.0,0,0,50
55003,0.0,0,0,9
55003,0.0,0,0,4
55003,0.0,0,0,8
55003,0.0,0,0,124
56001,0.0,0,0,50
56001,0.0,0,0,6
56001,0.0,0,0,6
56001,0.0,0,0,39
56001,0.0,0,0,66
56001,0.0,0,0,48
56002,0.0,0,0,34
56002,0.0006370779358674878,1,3,299
56002,0.0,0,0,60
56002,0.0,0,0,117
56003,0.0,0,0,49
56003,0.0,0,0,29
56003,0.0,0,0,89
56003,0.0,0,0,18
56003,0.0,0,0,41
56003,0.0,0,0,64
57000,0.0,0,0,802
57001,0.0,0,0,8
57001,0.0,0,0,13
57001,0.0,0,0,169
57002,0.0,0,0,12
57002,0.0,0,0,79
57002,0.0,0,0,15
57003,0.0,0,0,84
57003,0.0,0,0,41
57003,0.0,0,0,38
58000,0.005719113537401703,1,88,1499
58000,0.0,0,0,0
58001,0.0,0,0,9
58001,0.0,0,0,16
58001,0.0,0,0,12
58001,0.0,0,0,2
58001,0.0,0,0,56
58002,0.0,0,0,19
58002,0.0,0,0,52
58002,0.0,0,0,43
58003,0.0,0,0,19
58003,0.0,0,0,32
58003,0.0,0,0,50
58003,0.0,0,0,49
58003,0.0,0,0,76
58003,0.0,0,0,9
59001,0.0,0,0,0
59001,0.0,0,0,35
59001,0.0,0,0,2
59001,0.0,0,0,15
59001,0.0,0,0,50
59001,0.0,0,0,2
59001,0.0,0,0,5
59001,0.0,0,0,13
59001,0.0,0,0,6
59002,0.0,0,0,5
59002,0.0,0,0,2
59002,0.0,0,0,35
59002,0.0,0,0,92
59002,0.0,0,0,1
59002,0.0,0,0,2
59003,0.0,0,0,5
59003,0.0,0,0,15
59003,0.0,0,0,46
59003,0.0,0,0,7
59003,0.0,0,0,34
59003,0.0,0,0,74
59003,0.0,0,0,4
59003,0.0,0,0,31
60001,0.0,0,0,41
60001,0.0,0,0,238
60001,0.0,0,0,35
60002,0.0,0,0,92
60002,0.0,0,0,116
60002,0.0,0,0,61
61001,0.0,0,0,36
61001,0.0,0,0,11
61001,0.0,0,0,71
61001,0.0,0,0,11
61001,0.0,0,0,31
61002,0.0,0,0,24
61002,0.0,0,0,0
61002,0.0,0,0,17
61002,0.0,0,0,0
61002,0.0,0,0,227
61002,0.0,0,0,45
62001,0.0,0,0,54
62001,0.0,0,0,11
62001,0.0,0,0,22
62001,0.0,0,0,17
62001,0.0,0,0,45
62001,0.0,0,0,28
62002,0.0,0,0,369
62002,0.0,0,0,22
62002,0.0,0,0,7
62002,0.0,0,0,8
62002,0.0,0,0,12
62002,0.0,0,0,8
63001,0.0,0,0,20
63001,0.0,0,0,0
63001,0.0,0,0,1
63001,0.0,0,0,7
