# Galloway 1994 GMFR replication, census year 1905
# Source: PS Heft 206:1
# Note: Direct cell: Married Female 15-49.
# Primary cell: mwf_15_49_direct = Married Female 15-49 (or 15_49 where noted), as published per Kreis.
# Fallback cells (if direct not given): mwf_15_19 + mwf_20_24 + ... + mwf_45_49.
#
Code,Rb,Kreis,pop_total_1905_galloway,mwf_15_49_direct,mwf_15_19,mwf_20_24,mwf_25_29,mwf_30_34,mwf_35_39,mwf_40_44,mwf_45_49,mwf_50p,twf_15_19,twf_20_24,twf_25_29,twf_30_34,twf_35_39,twf_40_44,twf_45_49,twf_50p,source_page,notes
1,KON,MEMEL,61018,,,,,,,,,,,,,,,,,,,
2,KON,FISCHHAUSEN,52430,,,,,,,,,,,,,,,,,,,
6,KON,LABIAU,51295,,,,,,,,,,,,,,,,,,,
7,KON,WEHLAU,46774,,,,,,,,,,,,,,,,,,,
8,KON,GERDAUEN,33983,,,,,,,,,,,,,,,,,,,
9,KON,RASTENBURG,46985,,,,,,,,,,,,,,,,,,,
10,KON,FRIEDLAND,40822,,,,,,,,,,,,,,,,,,,
11,KON,PREUSSISCH EYLAU,49465,,,,,,,,,,,,,,,,,,,
12,KON,HEILIGENBEIL,43951,,,,,,,,,,,,,,,,,,,
13,KON,BRAUNSBERG,54751,,,,,,,,,,,,,,,,,,,
14,KON,HEILSBERG,51690,,,,,,,,,,,,,,,,,,,
22,KON,MOHRUNGEN,52408,,,,,,,,,,,,,,,,,,,
23,KON,PREUSSISCH HOLLAND,38599,,,,,,,,,,,,,,,,,,,
24,GUM,HEYDEKRUG,43268,,,,,,,,,,,,,,,,,,,
25,GUM,NIEDERUNG,55129,,,,,,,,,,,,,,,,,,,
29,GUM,RAGNIT,54741,,,,,,,,,,,,,,,,,,,
30,GUM,PILLKALLEN,46230,,,,,,,,,,,,,,,,,,,
31,GUM,STALLUPONEN,43875,,,,,,,,,,,,,,,,,,,
32,GUM,GUMBINNEN,50918,,,,,,,,,,,,,,,,,,,
36,GUM,DARKEHMEN,32285,,,,,,,,,,,,,,,,,,,
37,GUM,ANGERBURG,35946,,,,,,,,,,,,,,,,,,,
38,GUM,GOLDAP,43829,,,,,,,,,,,,,,,,,,,
39,GUM,OLETZKO,38536,,,,,,,,,,,,,,,,,,,
40,GUM,LYCK,55790,,,,,,,,,,,,,,,,,,,
41,GUM,LOTZEN,41609,,,,,,,,,,,,,,,,,,,
43,GUM,JOHANNISBURG,50453,,,,,,,,,,,,,,,,,,,
42,GUM,SENSBURG,49187,,,,,,,,,,,,,,,,,,,
19,KON,ORTELSBURG,69464,,,,,,,,,,,,,,,,,,,
15,KON,ROSSEL,50390,,,,,,,,,,,,,,,,,,,
16,KON,ALLENSTEIN,85625,,,,,,,,,,,,,,,,,,,
20,KON,NEIDENBURG,57325,,,,,,,,,,,,,,,,,,,
21,KON,OSTERODE,73421,,,,,,,,,,,,,,,,,,,
47,DAN,MARIENBURG,63110,,,,,,,,,,,,,,,,,,,
51,DAN,DANZIG NIEDERUNG,36951,,,,,,,,,,,,,,,,,,,
52,DAN,DANZIG HOHE,50158,,,,,,,,,,,,,,,,,,,
53,DAN,DIRSCHAU,40856,,,,,,,,,,,,,,,,,,,
54,DAN,PREUSSISCH STARGARD,62465,,,,,,,,,,,,,,,,,,,
55,DAN,BERENT,53726,,,,,,,,,,,,,,,,,,,
56,DAN,KARTHAUS,66612,,,,,,,,,,,,,,,,,,,
57,DAN,NEUSTADT,55587,,,,,,,,,,,,,,,,,,,
58,DAN,PUTZIG,25701,,,,,,,,,,,,,,,,,,,
59,MAR,STUHM,36559,,,,,,,,,,,,,,,,,,,
60,MAR,MARIENWERDER,68096,,,,,,,,,,,,,,,,,,,
61,MAR,ROSENBERG,53293,,,,,,,,,,,,,,,,,,,
62,MAR,LOBAU,57285,,,,,,,,,,,,,,,,,,,
63,MAR,STRASBURG,59927,,,,,,,,,,,,,,,,,,,
64,MAR,BRIESEN,47542,,,,,,,,,,,,,,,,,,,
68,MAR,KULM,49521,,,,,,,,,,,,,,,,,,,
72,MAR,SCHWETZ,87151,,,,,,,,,,,,,,,,,,,
73,MAR,TUCHEL,30803,,,,,,,,,,,,,,,,,,,
74,MAR,KONITZ,59694,,,,,,,,,,,,,,,,,,,
75,MAR,SCHLOCHAU,66317,,,,,,,,,,,,,,,,,,,
76,MAR,FLATOW,67783,,,,,,,,,,,,,,,,,,,
77,MAR,DEUTSCH KRONE,63706,,,,,,,,,,,,,,,,,,,
79,POT,PRENZLAU,61538,,,,,,,,,,,,,,,,,,,
80,POT,TEMPLIN,49554,,,,,,,,,,,,,,,,,,,
81,POT,ANGERMUNDE,65202,,,,,,,,,,,,,,,,,,,
83,POT,OBERBARNIM,96815,,,,,,,,,,,,,,,,,,,
85,POT,NIEDERBARNIM,391527,,,,,,,,,,,,,,,,,,,
91,POT,TELTOW,377502,,,,,,,,,,,,,,,,,,,
92,POT,BEESKOW-STORKOW,46649,,,,,,,,,,,,,,,,,,,
93,POT,JUTERBOG-LUCKENWALDE,72967,,,,,,,,,,,,,,,,,,,
94,POT,ZAUCH-BELZIG,84633,,,,,,,,,,,,,,,,,,,
97,POT,OSTHAVELLAND,77324,,,,,,,,,,,,,,,,,,,
99,POT,WESTHAVELLAND,65607,,,,,,,,,,,,,,,,,,,
100,POT,RUPPIN,77202,,,,,,,,,,,,,,,,,,,
101,POT,OSTPRIGNITZ,67307,,,,,,,,,,,,,,,,,,,
102,POT,WESTPRIGNITZ,79028,,,,,,,,,,,,,,,,,,,
103,FRA,KONIGSBERG,96505,,,,,,,,,,,,,,,,,,,
104,FRA,SOLDIN,46608,,,,,,,,,,,,,,,,,,,
105,FRA,ARNSWALDE,41987,,,,,,,,,,,,,,,,,,,
106,FRA,FRIEDEBERG,54014,,,,,,,,,,,,,,,,,,,
110,FRA,LEBUS,94455,,,,,,,,,,,,,,,,,,,
112,FRA,WESTSTERNBERG,43667,,,,,,,,,,,,,,,,,,,
113,FRA,OSTSTERNBERG,44501,,,,,,,,,,,,,,,,,,,
114,FRA,ZULLICHAU-SCHWIEBUS,47449,,,,,,,,,,,,,,,,,,,
115,FRA,KROSSEN,59252,,,,,,,,,,,,,,,,,,,
119,FRA,LUBBEN,33845,,,,,,,,,,,,,,,,,,,
120,FRA,LUCKAU,69951,,,,,,,,,,,,,,,,,,,
121,FRA,KALAU,85224,,,,,,,,,,,,,,,,,,,
126,FRA,SORAU,85334,,,,,,,,,,,,,,,,,,,
127,FRA,SPREMBERG,31926,,,,,,,,,,,,,,,,,,,
128,STE,DEMMIN,48733,,,,,,,,,,,,,,,,,,,
129,STE,ANKLAM,34431,,,,,,,,,,,,,,,,,,,
130,STE,USEDOM-WOLLIN,54423,,,,,,,,,,,,,,,,,,,
131,STE,UCKERMUNDE,54960,,,,,,,,,,,,,,,,,,,
132,STE,RANDOW,98860,,,,,,,,,,,,,,,,,,,
136,STE,GREIFENHAGEN,48042,,,,,,,,,,,,,,,,,,,
137,STE,PYRITZ,44665,,,,,,,,,,,,,,,,,,,
141,STE,SAATZIG,41948,,,,,,,,,,,,,,,,,,,
142,STE,NAUGARD,52687,,,,,,,,,,,,,,,,,,,
143,STE,KAMMIN,42524,,,,,,,,,,,,,,,,,,,
144,STE,GREIFENBERG,40006,,,,,,,,,,,,,,,,,,,
145,STE,REGENWALDE,45502,,,,,,,,,,,,,,,,,,,
146,KOS,SCHIVELBEIN,20459,,,,,,,,,,,,,,,,,,,
147,KOS,DRAMBURG,36081,,,,,,,,,,,,,,,,,,,
148,KOS,NEUSTETTIN,75776,,,,,,,,,,,,,,,,,,,
149,KOS,BELGARD,48081,,,,,,,,,,,,,,,,,,,
150,KOS,KOLBERG-KORLIN,61234,,,,,,,,,,,,,,,,,,,
151,KOS,KOSLIN,49809,,,,,,,,,,,,,,,,,,,
152,KOS,BUBLITZ,21327,,,,,,,,,,,,,,,,,,,
153,KOS,SCHLAWE,73710,,,,,,,,,,,,,,,,,,,
154,KOS,RUMMELSBURG,34982,,,,,,,,,,,,,,,,,,,
158,KOS,LAUENBURG,49827,,,,,,,,,,,,,,,,,,,
159,KOS,BUTOW,27152,,,,,,,,,,,,,,,,,,,
160,STR,RUGEN,47023,,,,,,,,,,,,,,,,,,,
164,STR,FRANZBURG,42058,,,,,,,,,,,,,,,,,,,
165,STR,GREIFSWALD,62979,,,,,,,,,,,,,,,,,,,
168,STR,GRIMMEN,36580,,,,,,,,,,,,,,,,,,,
169,POS,WRESCHEN,38029,,,,,,,,,,,,,,,,,,,
170,POS,JAROTSCHIN,49655,,,,,,,,,,,,,,,,,,,
171,POS,SCHRODA,46448,,,,,,,,,,,,,,,,,,,
172,POS,SCHRIMM,55520,,,,,,,,,,,,,,,,,,,
176,POS,POSEN OST,46468,,,,,,,,,,,,,,,,,,,
177,POS,POSEN WEST,39687,,,,,,,,,,,,,,,,,,,
178,POS,OBORNIK,53320,,,,,,,,,,,,,,,,,,,
179,POS,SAMTER,63428,,,,,,,,,,,,,,,,,,,
180,POS,BIRNBAUM,28196,,,,,,,,,,,,,,,,,,,
181,POS,SCHWERIN,21840,,,,,,,,,,,,,,,,,,,
182,POS,MESERITZ,50996,,,,,,,,,,,,,,,,,,,
183,POS,NEUTOMISCHEL,33470,,,,,,,,,,,,,,,,,,,
184,POS,GRATZ,35260,,,,,,,,,,,,,,,,,,,
185,POS,BOMST,61219,,,,,,,,,,,,,,,,,,,
186,POS,FRAUSTADT,28219,,,,,,,,,,,,,,,,,,,
187,POS,SCHMIEGEL,35153,,,,,,,,,,,,,,,,,,,
188,POS,KOSTEN,44713,,,,,,,,,,,,,,,,,,,
189,POS,LISSA,42467,,,,,,,,,,,,,,,,,,,
190,POS,RAWITSCH,48850,,,,,,,,,,,,,,,,,,,
191,POS,GOSTYN,45051,,,,,,,,,,,,,,,,,,,
192,POS,KOSCHMIN,32452,,,,,,,,,,,,,,,,,,,
193,POS,KROTOSCHIN,45829,,,,,,,,,,,,,,,,,,,
194,POS,PLESCHEN,36130,,,,,,,,,,,,,,,,,,,
195,POS,OSTROWO,39403,,,,,,,,,,,,,,,,,,,
196,POS,ADELNAU,34259,,,,,,,,,,,,,,,,,,,
197,POS,SCHILDBERG,35095,,,,,,,,,,,,,,,,,,,
198,POS,KEMPEN,34707,,,,,,,,,,,,,,,,,,,
199,BRO,FILEHNE,32669,,,,,,,,,,,,,,,,,,,
200,BRO,CZARNIKAU,41127,,,,,,,,,,,,,,,,,,,
202,BRO,KOLMAR,69851,,,,,,,,,,,,,,,,,,,
