# Galloway 1994 GMFR replication, census year 1895
# Source: PS Heft 148:1
# Note: Direct cell: Married Female 15-49.
# Primary cell: mwf_15_49_direct = Married Female 15-49 (or 15_49 where noted), as published per Kreis.
# Fallback cells (if direct not given): mwf_15_19 + mwf_20_24 + ... + mwf_45_49.
#
Code,Rb,Kreis,pop_total_1895_galloway,mwf_15_49_direct,mwf_15_19,mwf_20_24,mwf_25_29,mwf_30_34,mwf_35_39,mwf_40_44,mwf_45_49,mwf_50p,twf_15_19,twf_20_24,twf_25_29,twf_30_34,twf_35_39,twf_40_44,twf_45_49,twf_50p,source_page,notes
114,FRA,ZULLICHAU-SCHWIEBUS,49197,,,,,,,,,,,,,,,,,,,
115,FRA,KROSSEN,60779,,,,,,,,,,,,,,,,,,,
119,FRA,LUBBEN,34102,,,,,,,,,,,,,,,,,,,
120,FRA,LUCKAU,65711,,,,,,,,,,,,,,,,,,,
121,FRA,KALAU,66795,,,,,,,,,,,,,,,,,,,
126,FRA,SORAU,111074,,,,,,,,,,,,,,,,,,,
127,FRA,SPREMBERG,26740,,,,,,,,,,,,,,,,,,,
128,STE,DEMMIN,47588,,,,,,,,,,,,,,,,,,,
129,STE,ANKLAM,31706,,,,,,,,,,,,,,,,,,,
130,STE,USEDOM-WOLLIN,51404,,,,,,,,,,,,,,,,,,,
131,STE,UCKERMUNDE,52680,,,,,,,,,,,,,,,,,,,
132,STE,RANDOW,118208,,,,,,,,,,,,,,,,,,,
136,STE,GREIFENHAGEN,50528,,,,,,,,,,,,,,,,,,,
137,STE,PYRITZ,43632,,,,,,,,,,,,,,,,,,,
141,STE,SAATZIG,70176,,,,,,,,,,,,,,,,,,,
142,STE,NAUGARD,54266,,,,,,,,,,,,,,,,,,,
143,STE,KAMMIN,43456,,,,,,,,,,,,,,,,,,,
144,STE,GREIFENBERG,35435,,,,,,,,,,,,,,,,,,,
145,STE,REGENWALDE,45426,,,,,,,,,,,,,,,,,,,
146,KOS,SCHIVELBEIN,19194,,,,,,,,,,,,,,,,,,,
147,KOS,DRAMBURG,35576,,,,,,,,,,,,,,,,,,,
148,KOS,NEUSTETTIN,75825,,,,,,,,,,,,,,,,,,,
149,KOS,BELGARD,46260,,,,,,,,,,,,,,,,,,,
150,KOS,KOLBERG-KORLIN,54561,,,,,,,,,,,,,,,,,,,
151,KOS,KOSLIN,46448,,,,,,,,,,,,,,,,,,,
152,KOS,BUBLITZ,20948,,,,,,,,,,,,,,,,,,,
153,KOS,SCHLAWE,73183,,,,,,,,,,,,,,,,,,,
154,KOS,RUMMELSBURG,33676,,,,,,,,,,,,,,,,,,,
155,KOS,STOLP,99922,,,,,,,,,,,,,,,,,,,
158,KOS,LAUENBURG,44274,,,,,,,,,,,,,,,,,,,
159,KOS,BUTOW,24646,,,,,,,,,,,,,,,,,,,
160,STR,RUGEN,46723,,,,,,,,,,,,,,,,,,,
164,STR,FRANZBURG,41041,,,,,,,,,,,,,,,,,,,
165,STR,GREIFSWALD,61278,,,,,,,,,,,,,,,,,,,
168,STR,GRIMMEN,35266,,,,,,,,,,,,,,,,,,,
169,POS,WRESCHEN,33656,,,,,,,,,,,,,,,,,,,
170,POS,JAROTSCHIN,46855,,,,,,,,,,,,,,,,,,,
171,POS,SCHRODA,53973,,,,,,,,,,,,,,,,,,,
172,POS,SCHRIMM,53418,,,,,,,,,,,,,,,,,,,
176,POS,POSEN OST,56192,,,,,,,,,,,,,,,,,,,
177,POS,POSEN WEST,35808,,,,,,,,,,,,,,,,,,,
178,POS,OBORNIK,48756,,,,,,,,,,,,,,,,,,,
179,POS,SAMTER,58494,,,,,,,,,,,,,,,,,,,
180,POS,BIRNBAUM,28285,,,,,,,,,,,,,,,,,,,
181,POS,SCHWERIN,22948,,,,,,,,,,,,,,,,,,,
182,POS,MESERITZ,50711,,,,,,,,,,,,,,,,,,,
183,POS,NEUTOMISCHEL,33499,,,,,,,,,,,,,,,,,,,
184,POS,GRATZ,33650,,,,,,,,,,,,,,,,,,,
185,POS,BOMST,60712,,,,,,,,,,,,,,,,,,,
186,POS,FRAUSTADT,28862,,,,,,,,,,,,,,,,,,,
187,POS,SCHMIEGEL,35305,,,,,,,,,,,,,,,,,,,
188,POS,KOSTEN,42397,,,,,,,,,,,,,,,,,,,
189,POS,LISSA,39418,,,,,,,,,,,,,,,,,,,
190,POS,RAWITSCH,49896,,,,,,,,,,,,,,,,,,,
191,POS,GOSTYN,40966,,,,,,,,,,,,,,,,,,,
192,POS,KOSCHMIN,31523,,,,,,,,,,,,,,,,,,,
193,POS,KROTOSCHIN,44693,,,,,,,,,,,,,,,,,,,
194,POS,PLESCHEN,32880,,,,,,,,,,,,,,,,,,,
195,POS,OSTROWO,34766,,,,,,,,,,,,,,,,,,,
196,POS,ADELNAU,33534,,,,,,,,,,,,,,,,,,,
197,POS,SCHILDBERG,34071,,,,,,,,,,,,,,,,,,,
198,POS,KEMPEN,34704,,,,,,,,,,,,,,,,,,,
199,BRO,FILEHNE,32930,,,,,,,,,,,,,,,,,,,
200,BRO,CZARNIKAU,39899,,,,,,,,,,,,,,,,,,,
202,BRO,KOLMAR,63318,,,,,,,,,,,,,,,,,,,
203,BRO,WIRSITZ,60369,,,,,,,,,,,,,,,,,,,
207,BRO,SCHUBIN,44847,,,,,,,,,,,,,,,,,,,
208,BRO,HOHENSALZA,67454,,,,,,,,,,,,,,,,,,,
209,BRO,STRELNO,32722,,,,,,,,,,,,,,,,,,,
210,BRO,MOGILNO,41281,,,,,,,,,,,,,,,,,,,
211,BRO,ZNIN,33695,,,,,,,,,,,,,,,,,,,
212,BRO,WONGROWITZ,43970,,,,,,,,,,,,,,,,,,,
213,BRO,GNESEN,45567,,,,,,,,,,,,,,,,,,,
214,BRO,WITKOWO,25330,,,,,,,,,,,,,,,,,,,
215,BRE,NAMSLAU,35967,,,,,,,,,,,,,,,,,,,
216,BRE,GROSS WARTENBERG,49986,,,,,,,,,,,,,,,,,,,
217,BRE,OLS,64694,,,,,,,,,,,,,,,,,,,
218,BRE,TREBNITZ,51009,,,,,,,,,,,,,,,,,,,
219,BRE,MILITSCH,50274,,,,,,,,,,,,,,,,,,,
220,BRE,GUHRAU,34723,,,,,,,,,,,,,,,,,,,
221,BRE,STEINAU,23321,,,,,,,,,,,,,,,,,,,
222,BRE,WOHLAU,44083,,,,,,,,,,,,,,,,,,,
223,BRE,NEUMARKT,55700,,,,,,,,,,,,,,,,,,,
227,BRE,OHLAU,55040,,,,,,,,,,,,,,,,,,,
228,BRE,BRIEG,61951,,,,,,,,,,,,,,,,,,,
231,BRE,STREHLEN,35968,,,,,,,,,,,,,,,,,,,
232,BRE,NIMPTSCH,30403,,,,,,,,,,,,,,,,,,,
233,BRE,MUNSTERBERG,32165,,,,,,,,,,,,,,,,,,,
234,BRE,FRANKENSTEIN,47280,,,,,,,,,,,,,,,,,,,
235,BRE,REICHENBACH,69447,,,,,,,,,,,,,,,,,,,
236,BRE,SCHWEIDNITZ,96795,,,,,,,,,,,,,,,,,,,
239,BRE,STRIEGAU,41709,,,,,,,,,,,,,,,,,,,
240,BRE,WALDENBURG,130997,,,,,,,,,,,,,,,,,,,
241,BRE,GLATZ,61804,,,,,,,,,,,,,,,,,,,
242,BRE,NEURODE,48952,,,,,,,,,,,,,,,,,,,
243,BRE,HABELSCHWERDT,59089,,,,,,,,,,,,,,,,,,,
244,LIE,GRUNBERG,55623,,,,,,,,,,,,,,,,,,,
245,LIE,FREISTADT,54142,,,,,,,,,,,,,,,,,,,
246,LIE,SAGAN,56122,,,,,,,,,,,,,,,,,,,
